index,instrument_name,instrument_type,is_active,tick_size,option_type,strike,expiry,minimum_amount,amount_step,maker_fee_rate,taker_fee_rate,ask_price,ask_size,bid_price,bid_size,market_price,delta,gamma,vega,theta,iv,mark,ts
BTC-USD,BTC-20260529-95000-P,option,True,1,P,95000.0,20260529,0.01,1e-05,0.0001,0.0003,0.0,0.0,0.0,0.0,64014.0,-0.92989,8.55e-06,42.70147,-11.68542,0.49199,30970.0,1772274863460
BTC-USD,BTC-20260529-95000-C,option,True,1,C,95000.0,20260529,0.01,1e-05,0.0001,0.0003,473.0,3.3,325.0,2.0,64014.0,0.0701,8.55e-06,42.70148,-11.68542,0.49199,442.0,1772274862853
BTC-USD,BTC-20260529-90000-P,option,True,1,P,90000.0,20260529,0.01,1e-05,0.0001,0.0003,26243.0,1.0,25845.0,1.0,64014.0,-0.90052,1.136e-05,55.53779,-14.88985,0.48201,26207.0,1772274863358
BTC-USD,BTC-20260529-90000-C,option,True,1,C,90000.0,20260529,0.01,1e-05,0.0001,0.0003,684.0,1.0,592.0,1.0,64014.0,0.09947,1.136e-05,55.53779,-14.88985,0.48201,654.0,1772274863122
BTC-USD,BTC-20260529-85000-P,option,True,1,P,85000.0,20260529,0.01,1e-05,0.0001,0.0003,21600.0,1.0,21220.0,1.0,64014.0,-0.85732,1.491e-05,71.62267,-18.86759,0.4736,21571.0,1772274862853
BTC-USD,BTC-20260529-85000-C,option,True,1,C,85000.0,20260529,0.01,1e-05,0.0001,0.0003,1037.0,1.0,928.0,1.0,64014.0,0.14267,1.491e-05,71.62267,-18.86759,0.4736,994.0,1772274862853
BTC-USD,BTC-20260529-80000-P,option,True,1,P,80000.0,20260529,0.01,1e-05,0.0001,0.0003,17540.0,1.0,16763.0,2.0,64014.0,-0.79463,1.903e-05,90.35719,-23.52837,0.46814,17145.0,1772274862045
BTC-USD,BTC-20260529-80000-C,option,True,1,C,80000.0,20260529,0.01,1e-05,0.0001,0.0003,1628.0,1.0,1483.0,1.0,64014.0,0.20536,1.903e-05,90.35718,-23.52837,0.46814,1544.0,1772274863257
BTC-USD,BTC-20260529-75000-P,option,True,1,P,75000.0,20260529,0.01,1e-05,0.0001,0.0003,13402.0,2.0,12856.0,1.0,64014.0,-0.70731,2.302e-05,109.21211,-28.41076,0.46769,13061.0,1772274862550
BTC-USD,BTC-20260529-75000-C,option,True,1,C,75000.0,20260529,0.01,1e-05,0.0001,0.0003,2573.0,1.0,2401.0,3.0,64014.0,0.29268,2.302e-05,109.21211,-28.41076,0.46769,2435.0,1772274862448
BTC-USD,BTC-20260529-70000-P,option,True,1,P,70000.0,20260529,0.01,1e-05,0.0001,0.0003,9737.0,2.0,9403.0,5.286,64014.0,-0.59519,2.555e-05,123.11086,-32.52401,0.47496,9492.0,1772274863016
BTC-USD,BTC-20260529-70000-C,option,True,1,C,70000.0,20260529,0.01,1e-05,0.0001,0.0003,4014.0,1.0,3824.0,2.0,64014.0,0.4048,2.555e-05,123.11087,-32.52401,0.47496,3843.0,1772274862448
BTC-USD,BTC-20260529-65000-P,option,True,1,P,65000.0,20260529,0.01,1e-05,0.0001,0.0003,6736.0,1.0,6539.0,2.0,64014.0,-0.46835,2.529e-05,126.33756,-34.60848,0.49249,6601.0,1772274862652
BTC-USD,BTC-20260529-65000-C,option,True,1,C,65000.0,20260529,0.01,1e-05,0.0001,0.0003,6092.0,2.0,5874.0,2.0,64014.0,0.53164,2.529e-05,126.33755,-34.60848,0.49249,5928.0,1772274863153
BTC-USD,BTC-20260529-60000-P,option,True,1,P,60000.0,20260529,0.01,1e-05,0.0001,0.0003,4540.0,2.0,4316.0,2.0,64014.0,-0.34519,2.214e-05,117.0713,-33.94509,0.52129,4443.0,1772274862236
BTC-USD,BTC-20260529-60000-C,option,True,1,C,60000.0,20260529,0.01,1e-05,0.0001,0.0003,8878.0,3.285,8586.0,1.0,64014.0,0.6548,2.214e-05,117.0713,-33.94509,0.52129,8745.0,1772274862550
BTC-USD,BTC-20260529-50000-P,option,True,1,P,50000.0,20260529,0.01,1e-05,0.0001,0.0003,1887.0,1.0,1737.0,1.0,64014.0,-0.16184,1.265e-05,77.87642,-26.29104,0.60695,1903.0,1772274862551
BTC-USD,BTC-20260529-50000-C,option,True,1,C,50000.0,20260529,0.01,1e-05,0.0001,0.0003,16499.0,2.0,15710.0,1.0,64014.0,0.83815,1.265e-05,77.87642,-26.29104,0.60695,16157.0,1772274862752
BTC-USD,BTC-20260529-40000-P,option,True,1,P,40000.0,20260529,0.01,1e-05,0.0001,0.0003,849.0,2.0,671.0,3.3,64014.0,-0.0652,5.55e-06,40.37655,-16.10875,0.71727,751.0,1772274862348
BTC-USD,BTC-20260529-40000-C,option,True,1,C,40000.0,20260529,0.01,1e-05,0.0001,0.0003,0.0,0.0,0.0,0.0,64014.0,0.93479,5.55e-06,40.37655,-16.10875,0.71727,24957.0,1772274862650
